comment,clean_text,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,actual_umux_dimension,predicted_umux_label,predicted_umux_dimension,is_correct,error_type,sentiment_category,vader_compound,umux_lite_score_1_7,rating,user,date,likes,label UMUX,label,vader_neg,vader_neu,vader_pos,umux_score_category,is_umux_relevant
mantap,mantap,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5859,5.76,5.0,RIJIK ALMUNAWAR,2026-04-23 10:24:13,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
MANTAP,mantap,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5859,5.76,5.0,Maya Amin,2026-04-23 09:07:13,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
mantap,mantap,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5859,5.76,5.0,Yunita Daeli,2026-04-23 08:59:41,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
Bagus,bagus,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5267,5.58,5.0,Sisman Lamusu,2026-04-23 08:35:12,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
pengkinian data selalu gagal terus mkin gk jelaa,kini data selalu gagal terus mkin tidak jelaa,0,0,0,Tidak relevan dengan UMUX-Lite,1,Usefulness,False,actual_0_predicted_1,negative,-0.802,1.59,1.0,Rahayu Ayu,2026-04-23 08:21:01,0.0,Tidak relevan dengan pertanyaan manapun,0,0.614,0.286,0.1,low,True
"selamat siang bpk ibu di tempat ..., maaf saya mau tanya kenapa ya aplikasi jmo saya ga bisa di buka terhenti terus , padahal saya baru downlod",selamat siang bpk ibu tempat maaf mau tanya aplikasi jmo tidak bisa buka henti terus padahal baru downlod,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.4588,2.62,5.0,Damarkencana Damarkencana,2026-04-23 08:14:55,0.0,Tidak relevan dengan pertanyaan manapun,0,0.212,0.721,0.067,low,True
baik sekali,baik sekali,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.4588,5.38,4.0,Sitinur Khaliza,2026-04-23 07:35:11,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.25,0.75,high,False
mau klaim uang sendiri aja susah.hrus pengkinian data.. harus datang ke kantor cabang yg jauh..datang ke kantor harus daftar..antri lebih dri seminggu,mau klaim uang sendiri aja susah hrus kini data datang kantor cabang yg jauh datang kantor daftar antri lebih dri minggu,0,0,0,Tidak relevan dengan UMUX-Lite,3,Usefulness + Ease of Use,False,actual_0_predicted_3,negative,-0.4019,2.79,3.0,jeck joko,2026-04-23 07:29:08,0.0,Tidak relevan dengan pertanyaan manapun,0,0.23,0.53,0.24,low,True
baik,baik,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.4588,5.38,5.0,Hanes Yon,2026-04-23 07:13:52,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,1.0,high,False
Cukup sekali,cukup sekali,1,0,2,Ease of Use,1,Usefulness,False,actual_2_predicted_1,neutral,0.0,4.0,5.0,Adi Santoso,2026-04-23 07:13:31,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,1.0,0.0,moderate,True
"aplikasi nya cepat, dibantu juga dengan WA yg interaktif dengan para staf BPJS Ketenagakerjaan online nya.. trimakasih",aplikasi nya cepat bantu wa yg interaktif staf bpjs ketenagakerjaan online nya trimakasih,1,0,2,Ease of Use,3,Usefulness + Ease of Use,False,actual_2_predicted_3,positive,0.8658,6.6,5.0,Ahmad Umy,2026-04-23 05:00:10,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.406,0.594,high,True
baguss,baguss,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,neutral,0.0,4.0,5.0,Bayu Wiranto Husain,2026-04-23 04:23:12,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,1.0,0.0,moderate,False
"padahal biasanya bisa klaim bpjs pake slip gaji, ini belum juga konfirmasi vc udah di tolak aja. ga jelas, sangat mempersulit. minimal di konfirmasi dl vidio call ga langsung main tolak. dari awal persyaratan udah lengkap.",padahal biasa bisa klaim bpjs pake slip gaji belum konfirmasi vc udah tolak aja tidak jelas sangat sulit minimal konfirmasi dl vidio call tidak langsung main tolak awal syarat udah lengkap,0,0,0,Tidak relevan dengan UMUX-Lite,3,Usefulness + Ease of Use,False,actual_0_predicted_3,negative,-0.1779,3.47,1.0,Sherli Oktaviani Rukmana,2026-04-23 03:42:30,0.0,Tidak relevan dengan pertanyaan manapun,0,0.239,0.539,0.222,moderate,True
ramah bagus,ramah bagus,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.5267,5.58,5.0,Ferdian Agustin,2026-04-23 03:39:38,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.227,0.773,high,False
benahi sedikit bug,benah sedikit bug,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.5574,2.33,5.0,Hengky prasetyo,2026-04-23 03:31:49,0.0,Tidak relevan dengan pertanyaan manapun,0,0.643,0.357,0.0,low,True
sangat bagus pelayanannya,sangat bagus layan,1,0,2,Ease of Use,1,Usefulness,False,actual_2_predicted_1,positive,0.5267,5.58,5.0,Adipati Doulken,2026-04-23 02:26:34,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.37,0.63,high,True
kenapa gak bisa login ya ?,tidak bisa login,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.2023,3.39,4.0,Muhammad febri Setiawan,2026-04-22 15:35:31,0.0,Tidak relevan dengan pertanyaan manapun,0,0.478,0.217,0.304,moderate,True
sangatpuas,sangatpuas,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.6124,5.84,5.0,T Saiful,2026-04-22 13:24:36,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
bagus,bagus,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5267,5.58,4.0,Izan Sanum,2026-04-22 12:54:42,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
bagus,bagus,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5267,5.58,4.0,Ari si pengembara,2026-04-22 12:20:13,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
aplikasinya bagus dan sangat mempermudah,aplikasi bagus sangat mudah,0,1,1,Usefulness,3,Usefulness + Ease of Use,False,actual_1_predicted_3,positive,0.802,6.41,5.0,Pujasonia Alani,2026-04-22 10:39:25,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.217,0.783,high,True
bagus,bagus,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5267,5.58,5.0,Abdussalam mubarok Alfaqir,2026-04-22 09:53:30,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
"pelayanan memuaskan, ramah dan cepat",layan muas ramah cepat,0,1,1,Usefulness,2,Ease of Use,False,actual_1_predicted_2,positive,0.5423,5.63,5.0,Riska Amalia,2026-04-22 08:15:18,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.462,0.538,high,True
"ini kenapa tiba2 saya sudah masukan sandi kok malah gak ada respon saat pencet login, tapi untuk yang lain bisa masih di pilih",tiba masuk sandi kok malah tidak respon pencet login bisa pilih,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,positive,0.128,4.38,1.0,Indra Gunawan,2026-04-22 07:07:25,0.0,Tidak relevan dengan pertanyaan manapun,0,0.241,0.414,0.345,moderate,True
terbaik,baik,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.4588,5.38,5.0,Abdul Rohman,2026-04-22 04:38:58,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
Belum bisa d buka aplikasi nya.!!!,belum bisa d buka aplikasi nya,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.1531,3.54,1.0,Isma Ismu,2026-04-22 03:52:15,0.0,Tidak relevan dengan pertanyaan manapun,0,0.27,0.541,0.189,moderate,True
setelah di instal ko ga bisa dibuka aplikasinya..,instal ko tidak bisa buka aplikasi,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.1027,3.69,5.0,Dadi Primadi,2026-04-22 03:27:46,0.0,Tidak relevan dengan pertanyaan manapun,0,0.275,0.375,0.35,moderate,True
knpa ga bisa login ya?,knpa tidak bisa login,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.2023,3.39,5.0,Iwan Ahmad ismail,2026-04-22 02:56:06,0.0,Tidak relevan dengan pertanyaan manapun,0,0.393,0.357,0.25,moderate,True
sangat cocok,sangat cocok,0,0,0,Tidak relevan dengan UMUX-Lite,1,Usefulness,False,actual_0_predicted_1,positive,0.25,4.75,5.0,Khairunnisa,2026-04-21 19:49:15,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.333,0.667,moderate,True
aplikasi nya ga bisa di buka,aplikasi nya tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.2023,3.39,3.0,Aji supra Yogi,2026-04-21 17:42:32,0.0,Tidak relevan dengan pertanyaan manapun,0,0.333,0.455,0.212,moderate,True
good jobs,good jobs,0,0,0,Tidak relevan dengan UMUX-Lite,1,Usefulness,False,actual_0_predicted_1,positive,0.4404,5.32,5.0,Faizal As SH,2026-04-21 14:56:39,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.256,0.744,high,True
kenapa ya udah d update ko malah susah masuk nya kembali mulu aneh ini app,udah d update ko malah susah masuk nya mulu aneh aplikasi,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.7003,1.9,1.0,muhamad sidik al wahidi,2026-04-21 14:14:55,0.0,Tidak relevan dengan pertanyaan manapun,0,0.404,0.422,0.175,low,True
tidak bisa di buka,tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.2023,3.39,1.0,Boni Jov,2026-04-21 14:11:04,0.0,Tidak relevan dengan pertanyaan manapun,0,0.478,0.217,0.304,moderate,True
bagus,bagus,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5267,5.58,5.0,Jabar Muhamad,2026-04-21 12:54:53,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
lucu sangat email 1000% ingat kata nya salah yang benar saja jangan jangan ada yang ganti ni...,lucu sangat email ingat kata nya salah benar jangan jangan ganti ni,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.7184,1.84,1.0,helm Jhon,2026-04-21 12:43:17,0.0,Tidak relevan dengan pertanyaan manapun,0,0.438,0.562,0.0,low,True
aku sangat senang degan aplikasinya ini,aku sangat senang degan aplikasi,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,neutral,0.0,4.0,5.0,Robertus Suhardi,2026-04-21 12:21:32,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,1.0,0.0,moderate,False
aplikasi terhenti baru juga install,aplikasi henti baru install,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,positive,0.1027,4.31,1.0,Pradana Pst,2026-04-21 12:13:30,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.682,0.318,moderate,True
"aplikasinya tidak bisa saya buka mental terus,tolong dibantu",aplikasi tidak bisa buka mental terus bantu,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,positive,0.1531,4.46,5.0,abu ramanda,2026-04-21 09:55:53,0.0,Tidak relevan dengan pertanyaan manapun,0,0.355,0.242,0.403,moderate,True
"aplikasinya sangat bagus,",aplikasi sangat bagus,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5267,5.58,5.0,Tahatzo Tahatzo,2026-04-21 09:03:10,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.37,0.63,high,False
ok good,good,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.4404,5.32,5.0,Holidin Answer,2026-04-21 07:38:11,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
gak bisa d buka,tidak bisa d buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.2023,3.39,2.0,Gus tin,2026-04-21 07:37:57,0.0,Tidak relevan dengan pertanyaan manapun,0,0.393,0.357,0.25,moderate,True
sangat baik membantu,sangat baik bantu,1,1,3,Usefulness + Ease of Use,1,Usefulness,False,actual_3_predicted_1,positive,0.765,6.29,5.0,EdyOTT,2026-04-21 06:22:03,0.0,Relevan dengan P1 dan P3,3,0.0,0.132,0.868,high,True
apk nya gak bisa di buka di hp vivo,aplikasi nya tidak bisa buka hp vivo,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.2023,3.39,1.0,Anwar Sodikin,2026-04-21 05:41:36,0.0,Tidak relevan dengan pertanyaan manapun,0,0.256,0.581,0.163,moderate,True
kenapa tidak bisa login tolong di proses lah,tidak bisa login proses lah,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,neutral,0.0,4.0,5.0,michael manurung,2026-04-21 05:20:52,0.0,Tidak relevan dengan pertanyaan manapun,0,0.297,0.27,0.432,moderate,True
pencairan cepat no ribett,cair cepat no ribet,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,positive,0.8784,6.64,5.0,Kristofel ora,2026-04-21 05:11:04,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.09,0.91,high,True
tak bisa di buka,tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.2023,3.39,1.0,Raffi Anri,2026-04-21 04:45:51,0.0,Tidak relevan dengan pertanyaan manapun,0,0.478,0.217,0.304,moderate,True
mantap saya pake jam sudah lama bnget pokony mantap deh,mantap pake jam lama bnget pokony mantap deh,0,1,1,Usefulness,3,Usefulness + Ease of Use,False,actual_1_predicted_3,positive,0.6369,5.91,5.0,Fahira27 Anandita,2026-04-21 03:41:54,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.212,0.312,0.475,high,True
pelayanan nya baik,layan nya baik,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.4588,5.38,5.0,Asririn zebua Zebua,2026-04-21 03:18:14,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.4,0.6,high,False
pelayanannya bagus,layan bagus,1,0,2,Ease of Use,1,Usefulness,False,actual_2_predicted_1,positive,0.5267,5.58,4.0,Sahbil Pacco,2026-04-21 03:02:49,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.227,0.773,high,True
pelayanan bagus dan cepat,layan bagus cepat,1,1,3,Usefulness + Ease of Use,1,Usefulness,False,actual_3_predicted_1,positive,0.7845,6.35,5.0,asep hambali,2026-04-21 01:53:50,0.0,Relevan dengan P1 dan P3,3,0.0,0.127,0.873,high,True
aplikasinya tidak bisa dibuka,aplikasi tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.2023,3.39,1.0,Sales FirstMedia,2026-04-21 00:58:51,0.0,Tidak relevan dengan pertanyaan manapun,0,0.393,0.357,0.25,moderate,True
sangat membantu dalam klaim JHT,sangat bantu klaim jht,0,1,1,Usefulness,3,Usefulness + Ease of Use,False,actual_1_predicted_3,positive,0.7351,6.21,5.0,Fangky Gusty,2026-04-21 00:47:36,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.122,0.878,high,True
"terlalu ribet, proses klaim JHT, kendala pengkinian data berulang sampe tidak bisa ,,apk lemot mohon di perbaiki kasian yang suda harus membutuhkan uang secepatnya",terlalu ribet proses klaim jht kendala kini data ulang sampe tidak bisa aplikasi lambat mohon baik kasi suda butuh uang cepat,0,0,0,Tidak relevan dengan UMUX-Lite,3,Usefulness + Ease of Use,False,actual_0_predicted_3,negative,-0.5423,2.37,2.0,Riswin Shah,2026-04-21 00:39:57,0.0,Tidak relevan dengan pertanyaan manapun,0,0.392,0.229,0.379,low,True
