rating,user,date,comment,likes,label UMUX,label,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,clean_text,predicted_umux_label,predicted_umux_dimension,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_category,umux_lite_score_1_7,umux_score_category,is_umux_relevant
1.0,Yayan Yustito,2026-04-25 15:25:12,kenapa gak bisa login ? internet stabil tapi tetap stack di layar login,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,tidak bisa login internet stabil tetap stack layar login,2,Ease of Use,0.286,0.286,0.429,0.25,positive,4.75,moderate,True
3.0,Adelinawerisa Damanikk,2026-04-25 14:18:17,aplikasih nya engak tau kenapa engak bisa di buka padahal dah di instal berulang kali tetap saja engak bisa di pake ??,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,aplikasih nya engak tau engak bisa buka padahal dah instal ulang kali tetap engak bisa pake,2,Ease of Use,0.137,0.71,0.153,-0.1779,negative,3.47,moderate,True
5.0,Shon Haji,2026-04-25 12:58:05,kenapa hp saya tidak bisa membuka aplikasi jmo,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,hp tidak bisa buka aplikasi jmo,2,Ease of Use,0.289,0.526,0.184,-0.2023,negative,3.39,moderate,True
5.0,Hendry Pratama,2026-04-25 12:41:04,Tambah jelek apknya setelah di update keluar sendiri,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,tambah jelek apknya update keluar sendiri,2,Ease of Use,0.421,0.421,0.158,-0.5423,negative,2.37,low,True
5.0,Arinikusmiati Kusmiati,2026-04-25 12:34:05,Kenapa pas isi alamat lengkap ga bisa diklik ya...sungguh aneh..mohon pencerahannya..biar bisa masuk jmo,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,pas isi alamat lengkap tidak bisa klik sungguh aneh mohon cerah biar bisa masuk jmo,2,Ease of Use,0.251,0.531,0.217,-0.1779,negative,3.47,moderate,True
3.0,Sapriadi Nst,2026-04-25 11:54:31,Bagus,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,bagus,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5267,positive,5.58,high,False
3.0,Amin Honda,2026-04-25 09:33:47,"pas di klik muncul JMO terus berhenti, walau sdh di hapus dan di dowlod ulang tetap sama",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,pas klik muncul jmo terus henti sdh hapus dowlod ulang tetap sama,0,Tidak relevan dengan UMUX-Lite,0.444,0.556,0.0,-0.7351,negative,1.79,low,False
5.0,Sianturi Jrt,2026-04-25 09:06:09,bagus,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,bagus,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5267,positive,5.58,high,False
1.0,Situr Z,2026-04-25 08:56:18,"tulung dibaca ya tulunggg....inj parah kenapa aplikasi JMO tidak bisa dibuka di perangkat android saya, dibuka selalu force close trus kenapa bisa seperti ini, bagaimana saya mw ngecek saldo JHT saya kl gini terus?? tolong ditanggapi keluhan saya agar diperbaiki ini aplikasi sehingaa saya bisa membuka lagi seperti dlu, aplikasi JMO sudah diperbarui tetap saja tidak bisa dibuka 🤦🏼‍♂️",1.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,tulung baca tulunggg inj parah aplikasi jmo tidak bisa buka perangkat android buka selalu force close trus bisa bagaimana mw ngecek saldo jht kl gin terus tanggap keluh baik aplikasi sehingaa bisa buka dlu aplikasi jmo baru tetap tidak bisa buka,2,Ease of Use,0.205,0.57,0.224,-0.4588,negative,2.62,low,True
5.0,Eko Sinta,2026-04-25 08:14:34,mudah dalam penggunaannya,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,mudah guna,2,Ease of Use,0.0,0.0,1.0,0.7906,positive,6.37,high,True
5.0,Umi Sarofah,2026-04-25 07:46:31,memudahkan peserta BPJS ketenagakerjaan untuk cek data dan dana,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,mudah bpjs ketenagakerjaan cek data dana,2,Ease of Use,0.0,0.0,1.0,0.802,positive,6.41,high,True
5.0,Hosen Spaiderling,2026-04-25 07:10:26,cepat mudah efisien lanjutkan,0.0,Relevan dengan P1 dan P3,3,1,1,3,cepat mudah efisien lanjut,3,Usefulness + Ease of Use,0.0,0.085,0.915,0.8934,positive,6.68,high,True
1.0,Purwo Widodo,2026-04-25 07:09:16,email dan sandi sudah benar tapi tidak bisa login,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,email sandi benar tidak bisa login,2,Ease of Use,0.443,0.38,0.177,-0.2732,negative,3.18,moderate,True
5.0,Rusdiani Dania,2026-04-25 06:55:25,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True
1.0,Muh. Abu Amir,2026-04-25 06:09:36,"Tolong developer nya disupport dong untuk hp Huawei. Sya kasih bintang 1 dlu, klo sudah bisa akan sya full kan bintang nya. Update : masih tidak ada perubahan, aplikasi selalu berhenti dan keluar, device Huawei pura 80",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,developer nya disupport dong hp huawei sya kasih bintang dlu klo bisa sya full kan bintang nya update tidak ubah aplikasi selalu henti keluar device huawei pura,1,Usefulness,0.077,0.871,0.052,-0.1779,negative,3.47,moderate,True
5.0,Andreas Narahawarin,2026-04-25 04:58:20,Membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bantu,1,Usefulness,0.0,0.0,1.0,0.5574,positive,5.67,high,True
5.0,Sandi Yudha,2026-04-25 04:24:51,wokeh,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,wokeh,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
1.0,Septiawan Zaid,2026-04-25 04:17:00,"Saya tidak bisa tau No VA pembayaran saya, saya tidak sengaja menutup, saya baru mulai daftar.",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,tidak bisa tau no va bayar tidak sengaja tutup baru mulai daftar,2,Ease of Use,0.402,0.488,0.11,-0.5859,negative,2.24,low,True
2.0,Zaena Tenderly,2026-04-25 04:14:52,mantap,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantap,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5859,positive,5.76,high,False
1.0,Alwi Gunawan,2026-04-25 04:01:17,"aplikasi aneh, saldo ada tapi giliran mau klaim tertulis ""saldo tidak tersedia""",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,aplikasi aneh saldo gilir mau klaim tulis saldo tidak sedia,1,Usefulness,0.338,0.325,0.338,-0.25,negative,3.25,moderate,True
1.0,Mita Mila,2026-04-25 02:54:40,aplikasi nya eror gk bisa dibuka mental teruss,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,aplikasi nya error tidak bisa buka mental teruss,2,Ease of Use,0.492,0.397,0.111,-0.7003,negative,1.9,low,True
1.0,Sanjaya Agung,2026-04-25 02:43:19,Jmo terus berhenti aplikasi tidak jelas,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,jmo terus henti aplikasi tidak jelas,2,Ease of Use,0.423,0.288,0.288,-0.1027,negative,3.69,moderate,True
3.0,Halling Bone,2026-04-25 02:37:47,mudah di pake,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,mudah pake,2,Ease of Use,0.0,0.208,0.792,0.5859,positive,5.76,high,True
5.0,Januarius Tani,2026-04-25 02:33:24,aplikasinya tidak bisa di akses. semoga ada manfaatnya,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,aplikasi tidak bisa akses moga manfaat,0,Tidak relevan dengan UMUX-Lite,0.21,0.286,0.505,0.4767,positive,5.43,high,False
5.0,SARMILAH,2026-04-25 02:29:26,"saya mau cantumkan akun, tapi saat mau memasukkan nomor hp, aplikasi selalu keluar sendiri dan di ulang beberapa kali tetap sama. tolong bantuannya",0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,mau cantum akun mau masuk nomor hp aplikasi selalu keluar sendiri ulang beberapa kali tetap sama bantu,2,Ease of Use,0.174,0.596,0.229,0.296,positive,4.89,moderate,True
5.0,Ridho Alfarisyi,2026-04-25 02:15:54,kok susah sekali ya ambil hak JHT yang sudah tidak aktif.. terkesan dipersulit,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,kok susah sekali ambil hak jht tidak aktif kes sulit,0,Tidak relevan dengan UMUX-Lite,0.505,0.26,0.234,-0.7351,negative,1.79,low,False
5.0,Deb Sky,2026-04-25 02:15:46,mudah digunakan dan sangat membantu,0.0,Relevan dengan P1 dan P3,3,1,1,3,mudah guna sangat bantu,3,Usefulness + Ease of Use,0.0,0.086,0.914,0.891,positive,6.67,high,True
5.0,Mardiyono Yono,2026-04-25 01:49:42,mudah pecairan dana,0.0,Relevan dengan P1 dan P3,3,1,1,3,mudah cair dana,3,Usefulness + Ease of Use,0.0,0.0,1.0,0.8316,positive,6.49,high,True
5.0,Bagus Cahyadi,2026-04-25 01:49:17,terbaik,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,baik,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.4588,positive,5.38,high,False
1.0,Putri Leo,2026-04-25 01:17:34,Aplikasi cacat. Developer tolong buat biometrik fotonya dibenerin lagi. Bukannya mempermudah malah mempersulit pengguna. Masa 100% harus sesuai foto KTP. Biometrik rasis body shaming.,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,aplikasi cacat developer buat biometrik foto dibenerin bukan mudah malah sulit guna masa sesuai foto ktp biometrik ras body shaming,2,Ease of Use,0.183,0.49,0.327,0.6597,positive,5.98,high,True
2.0,Bunda Aryashaka,2026-04-25 00:59:06,"muncul keterangan ""JMO terus berhenti "" di xiaomi redmi 5 plus android 8 mohon diperbaiki...",0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,muncul terang jmo terus henti xiaomi redmi plus android mohon baik,2,Ease of Use,0.155,0.634,0.211,0.2023,positive,4.61,moderate,True
1.0,yats peci,2026-04-24 19:26:11,tolong bantu sialan udah update malah ga bisa dibuka aplikasi berhenti terus ... jng jawab maaf aja yaa atau datang ke kantor harus perbaiki .. tau gini ga akan update,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,bantu sial udah update malah tidak bisa buka aplikasi henti terus jng jawab maaf aja yaa datang kantor baik tau gin tidak update,2,Ease of Use,0.202,0.46,0.337,0.5267,positive,5.58,high,True
1.0,Nazriel Bym,2026-04-24 16:22:48,susah masuk. susah di download berkali kali tapi tetep tidak bisa masuk. udah ganti pasword juga berkali kali. padahal tahun tahun sebelumnya nggak ada masalah.,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,susah masuk susah download kali kali tetep tidak bisa masuk udah ganti pasword kali kali padahal tahun tahun belum tidak masalah,2,Ease of Use,0.514,0.36,0.126,-0.9313,negative,1.21,low,True
5.0,Joem Jumhana,2026-04-24 15:02:42,sy ko ga biasa cek saldo jht...,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,sy ko tidak biasa cek saldo jht,0,Tidak relevan dengan UMUX-Lite,0.22,0.3,0.48,0.1531,positive,4.46,moderate,False
3.0,Hary Yanto,2026-04-24 14:39:27,apk tidak bisa dibuka,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,aplikasi tidak bisa buka,2,Ease of Use,0.393,0.357,0.25,-0.2023,negative,3.39,moderate,True
1.0,Rani Wijayanti,2026-04-24 14:15:55,"padahal alamat email sudah benar,Uda coba berkali - kali.tetap g bisa login..apa karna hpnya atau aplikasinya,,",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,padahal alamat email benar uda coba kali kali tetap g bisa login apa karna hpnya aplikasi,0,Tidak relevan dengan UMUX-Lite,0.0,0.915,0.085,0.1027,positive,4.31,moderate,False
2.0,Anwarntch34_,2026-04-24 13:53:31,"setiap login harus ganti kata sandi,sedangkan sandi nya benar itu kenapa nyak",0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,tiap login ganti kata sandi sedang sandi nya benar nyak,2,Ease of Use,0.236,0.636,0.127,-0.0516,negative,3.85,moderate,True
4.0,Fzthfx,2026-04-24 13:42:25,👌🏼,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,0.0,0.0,neutral,4.0,moderate,False
2.0,Agus Wina,2026-04-24 13:14:49,"selamat malam buka aplikasi JMO kenapa tidak bisa login sblumnya 3hari llu buka lncar pdahal email dan pass sdah benar, klik login namun tidak ada keterangan apa2, mjon segera d bntu",0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,selamat malam buka aplikasi jmo tidak bisa login sblumnya hari llu buka lncar pdahal email pass sdah benar klik login tidak terang apa mjon segera d bntu,0,Tidak relevan dengan UMUX-Lite,0.141,0.641,0.218,-0.1531,negative,3.54,moderate,False
5.0,Masagus Iqbal,2026-04-24 12:58:59,ok terimakasih,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,terimakasih,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.4588,positive,5.38,high,False
2.0,LIONER ZIGAZ,2026-04-24 12:57:05,mohon maap tolong di perbaiki kenapa saat mau pengajuan penarikan GK bisa,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mohon maap baik mau aju tari tidak bisa,0,Tidak relevan dengan UMUX-Lite,0.196,0.536,0.268,0.2023,positive,4.61,moderate,False
5.0,RAPLIS 26,2026-04-24 11:56:31,bagus,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bagus,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5267,positive,5.58,high,False
1.0,Erwan Syaputra,2026-04-24 11:41:00,apaan. g bs dbuka,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,apa g bs dbuka,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
5.0,Pitty Oumen Mtd,2026-04-24 11:37:05,baik,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,baik,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.4588,positive,5.38,high,False
5.0,Rahmad Ardiyan,2026-04-24 11:29:45,mantap,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantap,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5859,positive,5.76,high,False
1.0,Moamar Arafat,2026-04-24 11:18:14,ga bisa login sungguh mengecewakan uang saya entah kemana ga jelas,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,tidak bisa login sungguh kecewa uang entah mana tidak jelas,2,Ease of Use,0.457,0.217,0.326,-0.5267,negative,2.42,low,True
2.0,Aidah Fitriani,2026-04-24 11:17:17,donload ber kali kali..tidak bisa dibuka...,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,donload ber kali kali tidak bisa buka,0,Tidak relevan dengan UMUX-Lite,0.256,0.581,0.163,-0.2023,negative,3.39,moderate,False
5.0,Sugito Wibowo,2026-04-24 11:11:58,sangat baik,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,sangat baik,0,Tidak relevan dengan UMUX-Lite,0.0,0.25,0.75,0.4588,positive,5.38,high,False
5.0,Mahyudin Yudin,2026-04-24 10:51:54,saya tidak bisa buka aplikasi ini.,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,tidak bisa buka aplikasi,2,Ease of Use,0.393,0.357,0.25,-0.2023,negative,3.39,moderate,True
2.0,Muhamad Juanda,2026-04-24 10:26:13,"tidak bisa dibuka, error, dicek di play store ngga ada update an",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,tidak bisa buka error cek play store tidak update an,0,Tidak relevan dengan UMUX-Lite,0.459,0.164,0.377,-0.5423,negative,2.37,low,False
5.0,Parlan Parlan,2026-04-24 10:24:26,aplikasi selalu berhenti,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,aplikasi selalu henti,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
3.0,Daafa Alfarisky,2026-04-24 10:20:56,saya kasik bintang 3 dulu Karne aplikasinya TDK bisa dibuka tolong perbaiki kan nya,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,kasik bintang dulu karne aplikasi tidak bisa buka baik kan nya,0,Tidak relevan dengan UMUX-Lite,0.151,0.548,0.301,0.296,positive,4.89,moderate,False
1.0,Alfa Firman,2026-04-24 09:37:29,device redmi note 5 pro android versi 9. aplikasi tidak berjalan notif *jmo terus berhenti* tolong di perbaiki min.,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,device redmi note pro android versi aplikasi tidak jalan notif jmo terus henti baik min,0,Tidak relevan dengan UMUX-Lite,0.227,0.619,0.155,-0.1027,negative,3.69,moderate,False
5.0,adjipatihdotkom,2026-04-24 08:46:19,proses pencairan cepat,0.0,Relevan dengan P1 dan P3,3,1,1,3,proses cair cepat,3,Usefulness + Ease of Use,0.0,0.0,1.0,0.8271,positive,6.48,high,True
5.0,rifat alfatih,2026-04-24 08:22:44,klaim mudah,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,klaim mudah,2,Ease of Use,0.0,0.0,1.0,0.7003,positive,6.1,high,True
5.0,Japra Ragil,2026-04-24 08:03:00,mudah ..praktis ..!!,0.0,Relevan dengan P1 dan P3,3,1,1,3,mudah praktis,2,Ease of Use,0.0,0.0,1.0,0.8074,positive,6.42,high,True
5.0,Anis Fauziyah,2026-04-24 07:51:40,baik,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,baik,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.4588,positive,5.38,high,False
5.0,FARRAS ABIYU,2026-04-24 07:26:11,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True
4.0,Achmad Fikri,2026-04-24 07:05:18,"Yaa lumayan Sja """"""'",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,yaa lumayan sja,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True
5.0,Berlin Sianturi,2026-04-24 07:02:11,mantap aplikasinya,0.0,Relevan dengan P1 dan P3,3,1,1,3,mantap aplikasi,0,Tidak relevan dengan UMUX-Lite,0.0,0.208,0.792,0.5859,positive,5.76,high,False
5.0,Lili Jajuli,2026-04-24 06:52:17,good,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,good,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.4404,positive,5.32,high,False
1.0,Abik abdul,2026-04-24 06:25:11,"Aplikasi sampah ga ada yg bener buatan pemerintah, kalo ada mainten atau gangguan harusnya dikasih tahu! Tiap bln bayar malah udah lebih 2 bln kedepan skrg pas dicek jadi bukan jd peserta, gmn ceritanya",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,aplikasi sampah tidak yg bener buat perintah kalo mainten ganggu kasih tahu tiap bln bayar malah udah lebih bln depan skrg pas cek jadi bukan jd gmn cerita,0,Tidak relevan dengan UMUX-Lite,0.326,0.63,0.044,-0.8834,negative,1.35,low,False
5.0,Bang ari,2026-04-24 06:08:01,Sangat baik,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,sangat baik,0,Tidak relevan dengan UMUX-Lite,0.0,0.25,0.75,0.4588,positive,5.38,high,False
5.0,Yttta Rawr,2026-04-24 06:07:47,aplikasi yang bagus,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,aplikasi bagus,0,Tidak relevan dengan UMUX-Lite,0.0,0.227,0.773,0.5267,positive,5.58,high,False
5.0,kevin shaputra,2026-04-24 06:00:03,sangat luar baiasa,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat luar baiasa,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
5.0,Na Mira,2026-04-24 05:54:41,respon dengan baik dan pelayanan baik dan ramah,0.0,Relevan dengan P1 dan P3,3,1,1,3,respon baik layan baik ramah,3,Usefulness + Ease of Use,0.0,0.196,0.804,0.802,positive,6.41,high,True
5.0,Oesman Batubara,2026-04-24 05:39:05,pelayanan yang sangat memuaskan,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,layan sangat muas,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True
5.0,Angenano Ziliwu,2026-04-24 05:23:57,sangat cepat dan membantu pengecekan saldo...,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat cepat bantu kece saldo,1,Usefulness,0.0,0.187,0.813,0.8271,positive,6.48,high,True
4.0,Ahmad Rithauddin,2026-04-24 05:20:29,"tolong diperbaiki, dong selalu berhenti dan tutup sendiri di hp Red mi note 13 pro 5G",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,baik dong selalu henti tutup sendiri hp red mi note pro g,0,Tidak relevan dengan UMUX-Lite,0.0,0.786,0.214,0.4588,positive,5.38,high,False
5.0,Ayah Latip,2026-04-24 05:19:54,"Sangat Mudah dan Terbantu, Petugasnya Pun Ramah Tamah (Pic Pak Imam )",0.0,Relevan dengan P1 dan P3,3,1,1,3,sangat mudah bantu tugas ramah tamah pic pak imam,3,Usefulness + Ease of Use,0.0,0.486,0.514,0.8126,positive,6.44,high,True
1.0,jihan Han,2026-04-24 05:13:12,kenapa apk ini tidak bisa di buka mohon bntuan nya jmo terhormat gimana ni,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,aplikasi tidak bisa buka mohon bntuan nya jmo hormat gimana ni,2,Ease of Use,0.175,0.714,0.111,-0.2023,negative,3.39,moderate,True
5.0,Ferdinand Palinggi,2026-04-24 04:37:27,bagus,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,bagus,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5267,positive,5.58,high,False
5.0,Ruly Praba,2026-04-24 04:26:56,Mantap,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,mantap,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.5859,positive,5.76,high,False
1.0,muhammad hasan,2026-04-24 04:09:13,aplikasi gak bisa di buka,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,aplikasi tidak bisa buka,2,Ease of Use,0.393,0.357,0.25,-0.2023,negative,3.39,moderate,True
5.0,Dian Andriyati,2026-04-24 04:05:21,proses cepat tapi susah d foto geometriknya,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,proses cepat susah d foto geometriknya,2,Ease of Use,0.308,0.25,0.442,0.1531,positive,4.46,moderate,True
5.0,Deni Alvin C.,2026-04-24 04:01:35,terbaik,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,baik,0,Tidak relevan dengan UMUX-Lite,0.0,0.0,1.0,0.4588,positive,5.38,high,False
1.0,Erick Depparaba,2026-04-24 04:00:48,pelayanan nya jelek tdk membantu sama dengan mentrinya bikin susah rakyat,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,layan nya jelek tidak bantu sama tri bikin susah rakyat,2,Ease of Use,0.508,0.308,0.185,-0.743,negative,1.77,low,True
