rating,user,date,comment,likes,label UMUX,label,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,clean_text,predicted_umux_label,predicted_umux_dimension,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_category,umux_lite_score_1_7,umux_score_category,is_umux_relevant,topic_id,topic_score,umux_label,umux_dimension
5.0,Angenano Ziliwu,2026-04-24 05:23:57,sangat cepat dan membantu pengecekan saldo...,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat cepat bantu kece saldo,1,Usefulness,0.0,0.187,0.813,0.8271,positive,6.48,high,True,1,0.02412826694150147,1,Usefulness
5.0,Sudirman Sudir,2026-04-24 03:49:32,"sangat bagus sih,, apk tapi, sayangnya kita gak bisa narik saldonya dari apk jmo nya,",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bagus sih aplikasi sayang tidak bisa narik saldo aplikasi jmo nya,1,Usefulness,0.136,0.556,0.309,0.4215,positive,5.26,high,True,5,0.0015972659437555263,1,Usefulness
5.0,Marnadinasti pasaribu,2026-04-24 02:19:40,Alhamdulillah gak haris keluar bisa dari apk jmo ini,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,alhamdulillah tidak haris keluar bisa aplikasi jmo,1,Usefulness,0.212,0.481,0.308,0.25,positive,4.75,moderate,True,5,0.0018595613155480723,1,Usefulness
5.0,Agus,2026-04-24 01:33:49,"saya blm tau hasil nya mudah mudahan bisa membantu aplikasinya untuk pencairan saldo bpjs ketenagaan kerja,intinya saya sudah membari 5 bintang langsung mudah2han tdk mengecewakan.",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,blm tau hasil nya mudah mudah bisa bantu aplikasi cair saldo bpjs tenaga kerja inti bari bintang langsung mudah han tidak kecewa,1,Usefulness,0.147,0.261,0.591,0.9493,positive,6.85,high,True,1,0.011398169884524278,1,Usefulness
5.0,Andika Yudha,2026-04-24 00:12:22,sangat mambantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat mambantu,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,5,1.2187966467162104e-11,1,Usefulness
5.0,Aris Aris,2026-04-23 12:29:16,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Maashraf Rahman,2026-04-23 09:06:14,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
1.0,Rahayu Ayu,2026-04-23 08:21:01,pengkinian data selalu gagal terus mkin gk jelaa,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,kini data selalu gagal terus mkin tidak jelaa,1,Usefulness,0.614,0.286,0.1,-0.802,negative,1.59,low,True,5,0.0015769787630367784,1,Usefulness
5.0,Firman Nopiansyah,2026-04-23 07:29:31,mantap kalau bisa cair cepat,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,mantap kalau bisa cair cepat,1,Usefulness,0.0,0.157,0.843,0.8934,positive,6.68,high,True,5,0.007114984872967823,1,Usefulness
5.0,Adi Santoso,2026-04-23 07:13:31,Cukup sekali,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,cukup sekali,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,1,0.0,1,Usefulness
5.0,Abang ardi,2026-04-23 06:50:56,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Feri Ariyadi,2026-04-23 05:15:22,lumayan membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,lumayan bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Kamal Sujaya,2026-04-23 04:52:26,apk yang sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,aplikasi sangat bantu,1,Usefulness,0.0,0.357,0.643,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Adipati Doulken,2026-04-23 02:26:34,sangat bagus pelayanannya,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,sangat bagus layan,1,Usefulness,0.0,0.37,0.63,0.5267,positive,5.58,high,True,5,0.33477279004726357,1,Usefulness
5.0,Neneng Linda,2026-04-23 01:27:01,penanganan yang baik,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,tangan baik,1,Usefulness,0.0,0.25,0.75,0.4588,positive,5.38,high,True,5,0.00022910945144217037,1,Usefulness
5.0,Arif Roy,2026-04-22 22:33:43,sangat membatu bagus,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat batu bagus,1,Usefulness,0.0,0.37,0.63,0.5267,positive,5.58,high,True,2,0.0008650492661390835,1,Usefulness
5.0,Nandar Cundara,2026-04-22 12:16:36,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Malaka bung,2026-04-22 11:21:50,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Fandri Simamora,2026-04-22 10:39:24,sangat memuaskan,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat muas,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,3,0.30015489746959007,1,Usefulness
5.0,Sahprii Sahpri,2026-04-22 10:28:16,sangat memuaskan,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat muas,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,3,0.30015489746959007,1,Usefulness
5.0,Rusliana,2026-04-22 09:51:02,"good, gausah jauh jauh ke kantor jadi simpel",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,good gausah jauh jauh kantor jadi simpel,1,Usefulness,0.0,0.442,0.558,0.743,positive,6.23,high,True,5,0.0009313156236884511,1,Usefulness
5.0,Shafa Najmina,2026-04-22 08:32:03,pelayanan nya memuaskan,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,layan nya muas,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,5,0.1692499469322677,1,Usefulness
5.0,Juni Marzuki,2026-04-22 08:08:45,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,jiTO SUJITO,2026-04-22 07:07:56,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Hazard Azwat,2026-04-22 06:30:26,sangat puas dan sangat membantu.,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat puas sangat bantu,1,Usefulness,0.0,0.215,0.785,0.8074,positive,6.42,high,True,4,0.16049071158200598,1,Usefulness
5.0,achmad muhaimin,2026-04-22 06:22:02,sangat memuaskan pelayanan BPJS cabang pinrang,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat muas layan bpjs cabang pinrang,1,Usefulness,0.0,0.781,0.219,0.1027,positive,4.31,moderate,True,5,0.08495633074518609,1,Usefulness
5.0,Andi Fakhri Falah,2026-04-22 05:53:00,aplikasi pemerintah paling bener dan beres kegunaannya sejauh ini 👍👍👍,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,aplikasi perintah paling bener beres guna jauh,1,Usefulness,0.0,0.652,0.348,0.4939,positive,5.48,high,True,4,0.00017392402618326728,1,Usefulness
5.0,Abdul aziz,2026-04-22 04:37:35,membantu sekali dan butuh,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bantu sekali butuh,1,Usefulness,0.0,0.357,0.643,0.5574,positive,5.67,high,True,1,0.03279580403735962,1,Usefulness
5.0,Restu AnggiKurniawan,2026-04-22 03:00:33,membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bantu,1,Usefulness,0.0,0.0,1.0,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Satria Putra,2026-04-22 02:26:58,mempermudah para pekerja saat mengecek dan pencairan dana JHT,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,mudah kerja ecek cair dana jht,1,Usefulness,0.0,0.079,0.921,0.8658,positive,6.6,high,True,5,0.0025125895947243236,1,Usefulness
5.0,yolindes Gustio,2026-04-21 23:46:17,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Khairunnisa,2026-04-21 19:49:15,sangat cocok,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,sangat cocok,1,Usefulness,0.0,0.333,0.667,0.25,positive,4.75,moderate,True,5,2.713214660829104e-05,1,Usefulness
5.0,Faizal As SH,2026-04-21 14:56:39,good jobs,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,good jobs,1,Usefulness,0.0,0.256,0.744,0.4404,positive,5.32,high,True,5,3.8980745044181736e-10,1,Usefulness
5.0,Kuswanto Kuswanto,2026-04-21 12:50:34,sangat bermanfaat sekali,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat manfaat sekali,1,Usefulness,0.0,0.364,0.636,0.5423,positive,5.63,high,True,2,0.2741467661435781,1,Usefulness
2.0,Bryan Swagie,2026-04-21 12:10:09,"Saya baru saja mengajukan klaim manfaat JHT, saya kasih rate 2 bintang dulu. kalau klaim nya berhasil saya kasih rate 5 bintang",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,baru aju klaim manfaat jht kasih rate bintang dulu kalau klaim nya hasil kasih rate bintang,1,Usefulness,0.0,0.493,0.507,0.8519,positive,6.56,high,True,2,0.03757099303597392,1,Usefulness
5.0,Dwi Bintang,2026-04-21 12:06:38,sagat membatu sekali,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sagat batu sekali,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,2,0.00099446246396929,1,Usefulness
5.0,scaryumee,2026-04-21 11:46:39,sangatt membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangatt bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.03165824990908699,1,Usefulness
5.0,Bustomi Akbar Kuswara Wira Pangestu,2026-04-21 10:54:07,bagus sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bagus sangat bantu,1,Usefulness,0.0,0.125,0.875,0.7906,positive,6.37,high,True,1,0.1849970895819814,1,Usefulness
5.0,Andik 222,2026-04-21 09:01:56,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Aslin Aslina Kayla putri,2026-04-21 07:45:49,sangatt membantu terimakasih🤍,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangatt bantu terimakasih,1,Usefulness,0.0,0.132,0.868,0.765,positive,6.29,high,True,1,0.03165824990908699,1,Usefulness
5.0,eko prabowo,2026-04-21 06:55:25,aplikasinya sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,aplikasi sangat bantu,1,Usefulness,0.0,0.357,0.643,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,EdyOTT,2026-04-21 06:22:03,sangat baik membantu,0.0,Relevan dengan P1 dan P3,3,1,1,3,sangat baik bantu,1,Usefulness,0.0,0.132,0.868,0.765,positive,6.29,high,True,1,0.1849970895819814,1,Usefulness
5.0,Ogut Firdaus,2026-04-21 05:20:26,sangat bermanfaat,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat manfaat,1,Usefulness,0.0,0.222,0.778,0.5423,positive,5.63,high,True,2,0.2741467661435781,1,Usefulness
5.0,ali wardani,2026-04-21 04:56:49,sangat bermanfaat harap terus di tingkatkan lagi,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat manfaat harap terus tingkat,1,Usefulness,0.253,0.345,0.402,0.3182,positive,4.95,moderate,True,2,0.06817686261598438,1,Usefulness
5.0,Fitrawan Saleh,2026-04-21 03:30:30,"bagus banget, sukses terus",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bagus banget sukses terus,1,Usefulness,0.216,0.098,0.686,0.7003,positive,6.1,high,True,5,0.001688789455867053,1,Usefulness
5.0,youtube chanel,2026-04-21 03:23:20,bagus sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bagus sangat bantu,1,Usefulness,0.0,0.125,0.875,0.7906,positive,6.37,high,True,1,0.1849970895819814,1,Usefulness
4.0,Sahbil Pacco,2026-04-21 03:02:49,pelayanannya bagus,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,layan bagus,1,Usefulness,0.0,0.227,0.773,0.5267,positive,5.58,high,True,5,0.33477279004726357,1,Usefulness
5.0,Nanang Purwadi,2026-04-21 02:39:11,membantu sekali,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bantu sekali,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Sugeng Mulyadi,2026-04-21 02:01:49,Membantu mempersiapkan pada keadaan yang tidak terduga,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bantu siap tidak duga,1,Usefulness,0.282,0.256,0.462,0.34,positive,5.02,high,True,1,0.03723172407286231,1,Usefulness
5.0,asep hambali,2026-04-21 01:53:50,pelayanan bagus dan cepat,0.0,Relevan dengan P1 dan P3,3,1,1,3,layan bagus cepat,1,Usefulness,0.0,0.127,0.873,0.7845,positive,6.35,high,True,5,0.17141480688599486,1,Usefulness
5.0,Magfira Cahyani Hi. Wahid,2026-04-21 01:41:30,sangat memuaskan,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat muas,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,3,0.30015489746959007,1,Usefulness
5.0,Nuke Yuniarti,2026-04-21 01:21:57,Sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Brigat Curv,2026-04-21 01:20:33,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Dina Sakdiah,2026-04-21 01:17:37,bermanfaat sekali,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,manfaat sekali,1,Usefulness,0.0,0.222,0.778,0.5423,positive,5.63,high,True,2,0.2741467661435781,1,Usefulness
5.0,Ardha Yanti,2026-04-21 01:15:47,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Oppo A58,2026-04-21 00:45:58,"sangat membantu, terimakasih JMO",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu terimakasih jmo,1,Usefulness,0.0,0.233,0.767,0.765,positive,6.29,high,True,1,0.1849970895819814,1,Usefulness
5.0,Anerius halawa,2026-04-21 00:36:27,sangat membantu dalam keperluan pengklaiman bpjs,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu perlu klaim bpjs,1,Usefulness,0.0,0.222,0.778,0.7184,positive,6.16,high,True,1,0.0293272994023581,1,Usefulness
5.0,Zainur Rosid,2026-04-20 23:19:47,sangat berguna,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,sangat guna,1,Usefulness,0.0,0.238,0.762,0.4939,positive,5.48,high,True,1,0.0,1,Usefulness
5.0,Defit Setiawan,2026-04-20 18:00:03,terimakasih aplikasinya telah membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,terimakasih aplikasi bantu,1,Usefulness,0.0,0.132,0.868,0.765,positive,6.29,high,True,1,0.1849970895819814,1,Usefulness
5.0,nanda patroji96,2026-04-20 16:23:03,sejauh ini masih bagus,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,jauh bagus,1,Usefulness,0.0,0.227,0.773,0.5267,positive,5.58,high,True,4,0.00035123656816561763,1,Usefulness
5.0,Udin Golden,2026-04-20 15:37:13,ok sangt menantu sekalih dengan adanya kp lokasi jmo,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangt menantu kalih kp lokasi jmo,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,5,0.0001243342152832507,1,Usefulness
5.0,Angga Wijaya,2026-04-20 15:21:29,sangat mendukung,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat dukung,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,5,0.001993508872010879,1,Usefulness
5.0,Edi Aris,2026-04-20 14:11:39,keren dah aplikasi jmo,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,keren dah aplikasi jmo,1,Usefulness,0.0,0.462,0.538,0.5423,positive,5.63,high,True,5,1.7611194556583553e-05,1,Usefulness
5.0,Kornelis Kaise,2026-04-20 13:36:25,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,haryy_za 19,2026-04-20 13:07:35,keren dan mantap,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,keren mantap,1,Usefulness,0.0,0.0,1.0,0.8074,positive,6.42,high,True,1,0.0,1,Usefulness
5.0,Arif Riyanto,2026-04-20 12:11:07,bagus pelayanannya,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,bagus layan,1,Usefulness,0.0,0.227,0.773,0.5267,positive,5.58,high,True,5,0.33477279004726357,1,Usefulness
5.0,Uje Aja,2026-04-20 10:46:56,good Jobs,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,good jobs,1,Usefulness,0.0,0.256,0.744,0.4404,positive,5.32,high,True,5,3.8980745044181736e-10,1,Usefulness
5.0,Umbka,2026-04-20 10:18:06,respon cepat terimakasih jmo,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,respon cepat terimakasih jmo,1,Usefulness,0.0,0.103,0.897,0.8271,positive,6.48,high,True,5,0.01165716690219536,1,Usefulness
5.0,Yuli Nurhadi,2026-04-20 08:56:24,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
4.0,Ade Hamdas,2026-04-20 06:50:19,memuaskan,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,muas,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,3,0.30015489746959007,1,Usefulness
5.0,firman Fauzan,2026-04-20 06:21:58,sangat penting,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat penting,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,5,0.0003160649888196429,1,Usefulness
5.0,Afri Hanto,2026-04-20 05:37:44,sangat berguna untuk hari tua,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat guna hari tua,1,Usefulness,0.0,0.312,0.688,0.5267,positive,5.58,high,True,2,0.0013389018313452563,1,Usefulness
5.0,Acep Ramdani,2026-04-20 05:19:16,sangat manpaat,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat manpaat,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,1,0.0,1,Usefulness
5.0,Nilam Sari,2026-04-20 05:03:02,sangat membantu para pekerja untuk bisa cek saldo dan pencairan,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu kerja bisa cek saldo cair,1,Usefulness,0.0,0.148,0.852,0.8591,positive,6.58,high,True,1,0.018939698673138723,1,Usefulness
5.0,Rego Yusdian,2026-04-20 04:17:17,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Dewi aritandi,2026-04-20 04:11:19,sangat bermanfaat,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat manfaat,1,Usefulness,0.0,0.222,0.778,0.5423,positive,5.63,high,True,2,0.2741467661435781,1,Usefulness
5.0,TA_Official,2026-04-20 01:26:06,sangat memuaskan,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat muas,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,3,0.30015489746959007,1,Usefulness
5.0,AMIN MAS'UL,2026-04-20 00:38:26,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Hertal Hertal,2026-04-20 00:27:03,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Jiem91 Ae,2026-04-19 23:32:33,"Bagus dengan adanya Aplikasi JMO ini, kita bisa cek Saldo dan lain².",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bagus aplikasi jmo bisa cek saldo,1,Usefulness,0.0,0.312,0.688,0.6808,positive,6.04,high,True,2,0.0007010295380408369,1,Usefulness
5.0,Habibi Mahmud,2026-04-19 17:13:04,sangat bermanfaat,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat manfaat,1,Usefulness,0.0,0.222,0.778,0.5423,positive,5.63,high,True,2,0.2741467661435781,1,Usefulness
5.0,Rizki Ridho,2026-04-19 16:52:26,sangat terbuka dan sngt membantu buru,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat buka sngt bantu buru,1,Usefulness,0.0,0.375,0.625,0.6124,positive,5.84,high,True,1,0.027350019268912607,1,Usefulness
5.0,Lisna Pesek,2026-04-19 13:13:46,sangat bermanfaat sekali untuk kami yg ingin melihat saldo jmo,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat manfaat sekali yg lihat saldo jmo,1,Usefulness,0.0,0.377,0.623,0.6808,positive,6.04,high,True,2,0.07993491201653508,1,Usefulness
5.0,Ady Harys,2026-04-19 12:12:29,sangat puas,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat puas,1,Usefulness,0.0,0.213,0.787,0.5719,positive,5.72,high,True,4,0.3156987116190138,1,Usefulness
5.0,Amin Mubarok,2026-04-19 11:25:31,membantu banget mempermudah cara k laim,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bantu banget mudah cara k laim,1,Usefulness,0.0,0.351,0.649,0.8126,positive,6.44,high,True,1,0.03418775193835276,1,Usefulness
